a	một
a bit	một chút, một tí
a few	một ít, một vài
a little	nhỏ, một ít
abandon	bỏ, từ bỏ
abandoned	bị bỏ rơi, bị ruồng bỏ
ability	khả năng, năng lực
able	có năng lực, có tài
abortion	sự phá thai
about	khoảng, về
above	ở trên, lên trên
abroad	ở, ra nước ngoài, ngoài trời
absence	sự vắng mặt
absent	vắng mặt, nghỉ
absolute	tuyệt đối, hoàn toàn
absolutely	tuyệt đối, hoàn toàn
absorb	thu hút, hấp thu, lôi cuốn
abstract	trừu tượng
abuse	lộng hành, lạm dụng
academic	thuộc học viện, đh, viện hàn lâm
accelerate	đẩy nhanh
accent	trọng âm, dấu trọng âm
accept	chấp nhận, chấp thuận
acceptable	có thể chấp nhận, chấp thuận
acceptance	chấp thuận
access	lối, cửa, đường vào
accessible	có thể truy cập
accident	tai nạn, rủi ro
accidental	tình cờ, bất ngờ
accidentally	tình cờ, ngẫu nhiên
accommodate	chứa
accommodation	sự thích nghi, điều tiết
accompany	đi theo, đi cùng, kèm theo
accomplish	hoàn thành
accomplishment	hoàn thành
according	theo
according to	theo, y theo
account	tài khoản, kế toán, tính toán, tính đến
accountability	trách nhiệm giải trình
accounting	kế toán
accuracy	tính chính xác
accurate	đúng đắn, chính xác, xác đáng
accurately	đúng đắn, chính xác
accusation	tố cáo
accuse	tố cáo, buộc tội, kết tội
achieve	đạt được, dành được
achievement	thành tích, thành tựu
acid	axit
acknowledge	công nhận, thừa nhận
acquire	dành được, đạt được, kiếm được
acquisition	mua lại
across	qua, ngang qua
act	hành động, hành vi, cử chỉ, đối xử
action	hành động, hành vi, tác động
active	tích cực hoạt động, nhanh nhẹn
actively	tích cực
activist	nhà hoạt động
activity	hoạt động
actor	diễn viên
actress	diễn viên
actual	thực tế, có thật
actually	hiện nay, hiện tại
ad	quảng cáo
adapt	tra, lắp vào
add	cộng, thêm vào
added	thêm
addition	tính cộng, phép cộng
additional	thêm vào, tăng thêm
address	địa chỉ, đề địa chỉ
adequate	đầy, đầy đủ
adequately	tương xứng, thỏa đáng
adjust	sửa lại cho đúng, điều chỉnh
adjustment	điều chỉnh
administer	quản lý
administration	quản trị
administrative	hành chính
administrator	người quản lý
admiration	sự khâm phục,người kp, thán phục
admire	khâm phục, thán phục
admission	nhận vào
admit	nhận vào, cho vào, kết hợp
adolescent	thanh niên
adopt	nhận làm con nuôi, bố mẹ nuôi
adoption	nhận con nuôi
adult	người lớn, người trưởng thành, trưởng thành
advance	sự tiến bộ, tiến lên, đưa lên, đề xuất
advanced	tiên tiến, tiến bộ, cấp cao
